budget,ci95_high,ci95_low,epistasis_bin,k,mean,method,metric,n,score,selection_policy,source
,6.652174940059378,3.8953183171023307,,,5.2030879923100555,EVmutation,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.4378418589896557,0.39395371940693885,,,0.4161553684152254,DeepSequence_single,pearson,217,,,zero_shot_extended_metrics.csv
,5.115471299391421,3.2789404267760736,,,4.133872670268847,DeepSequence_single,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,6.057927775822115,3.5932634215148744,,,4.783281463565577,DeepSequence_single,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.4497233101325324,0.40562462046570924,,,0.42777212581635315,DeepSequence_ensemble,pearson,217,,,zero_shot_extended_metrics.csv
,5.56457817289399,3.508101122697915,,,4.48547824790477,DeepSequence_ensemble,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,6.290410143454689,3.7289883631515237,,,4.9579397505241785,DeepSequence_ensemble,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.4619384897996661,0.420848340223711,,,0.4416351170258703,EVE_single,pearson,217,,,zero_shot_extended_metrics.csv
,5.660912255282259,3.651878756304112,,,4.601637393960408,EVE_single,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,6.5441764728052565,3.9791817377459213,,,5.176640937635261,EVE_single,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.4689562048051975,0.4264011914347967,,,0.44809258061525303,EVE_ensemble,pearson,217,,,zero_shot_extended_metrics.csv
,5.760067785089245,3.802179205736033,,,4.738035939103565,EVE_ensemble,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,6.4528934885774065,3.948991807138235,,,5.130891932219723,EVE_ensemble,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.20706125323735558,0.1540429561391821,,,0.18051075655140425,Unirep,pearson,217,,,zero_shot_extended_metrics.csv
,2.8277526915406197,1.6275266976880647,,,2.210976664279846,Unirep,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,3.128030210891906,1.4915261931552397,,,2.2576113506650115,Unirep,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.3466729361494761,0.3047960211177722,,,0.3258542353216627,Unirep_evotune,pearson,217,,,zero_shot_extended_metrics.csv
,3.3858595392483988,1.7291435062501592,,,2.496405967844559,Unirep_evotune,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,3.8087250863482014,1.8883241224654246,,,2.799158920860333,Unirep_evotune,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
