assay,seed,budget,regime,model,features,n_features,ridge,n_train,n_test,spearman_all,top1pct_recall_at_100,best_true_in_pred_top_100,best_true_in_pred_top_100_percentile
A0A247D711_LISMN_Stadelmann_2021.csv,0,50,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,1603,0.5487989952772635,0.17647058823529413,0.9052812992998712,0.9951603145795523
A0A247D711_LISMN_Stadelmann_2021.csv,0,100,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,1553,0.561733528725073,0.0625,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,0,100,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,1553,0.5767881724848213,0.0625,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,0,100,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,1553,0.5658347642817647,0.0625,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,1,20,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,1633,0.41124689472082,0.058823529411764705,0.9238251009472528,0.9975801572897761
A0A247D711_LISMN_Stadelmann_2021.csv,1,20,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,1633,0.5598597802389221,0.058823529411764705,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,1,20,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,1633,0.332663044308817,0.17647058823529413,0.9052812992998712,0.9951603145795523
A0A247D711_LISMN_Stadelmann_2021.csv,1,50,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,1603,0.5810166028250118,0.058823529411764705,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,1,50,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,1603,0.4973698166345811,0.058823529411764705,0.8974029166628696,0.9933454325468845
A0A247D711_LISMN_Stadelmann_2021.csv,1,50,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,1603,0.45823221841259654,0.11764705882352941,0.8984081369225958,0.9939503932244405
