budget,regime,model,zero_shot_method,n_rows,mean_best_top100_percentile,mean_top1pct_recall_at_100,mean_abs_spearman_all
50,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,1065,0.9953953816439155,0.21204240186926804,0.5569855231731503
50,mixed_random,top_score_ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9952105794339272,0.2196840207053085,0.5623614014966091
50,mixed_random,additive_plus_top_score_ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9950189601276277,0.20810889382222672,0.5491753284833942
50,mixed_random,ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.994921688051489,0.20408155490718624,0.5481754245000721
50,mixed_random,zscore_linear,S2F_MSA,1065,0.9944015849944786,0.17792690792216853,0.5102457877283285
50,mixed_random,zscore_linear,PoET,1065,0.994237861343463,0.17081499645883272,0.4906647872948164
50,mixed_random,additive_plus_zscore,S2F_MSA,1065,0.9939901840744442,0.17586156929849556,0.5093037377519591
50,mixed_random,zscore_linear,ESM3,1065,0.9939318024386451,0.19336205199679293,0.48366476235890893
50,mixed_random,zscore_linear,ProSST-4096,1065,0.9938498858210905,0.18342092611410937,0.5130684528986134
50,mixed_random,zscore_linear,ProSST-1024,1065,0.9937899986496254,0.2092174998392936,0.5036667740267667
50,mixed_random,additive_plus_zscore,PoET,1065,0.9937874800762407,0.16796021628230742,0.49079704770885035
50,mixed_random,zscore_linear,S3F_MSA,1065,0.9936833384740063,0.1751579211793974,0.517385834973943
50,mixed_random,zscore_linear,S3F,1065,0.9936509628189104,0.1870404449139513,0.4905768926320543
50,mixed_random,additive_plus_zscore,S3F_MSA,1065,0.9932866053936902,0.17305396609154994,0.5165589521923329
50,mixed_random,zscore_linear,ProtSSN_ensemble,1065,0.9931808836294619,0.18350384534526218,0.4745053098324014
50,mixed_random,additive_plus_zscore,ProSST-1024,1065,0.9931720631223485,0.20450342998092072,0.5041767238286873
50,mixed_random,additive_plus_zscore,ESM3,1065,0.9930585857706731,0.19134672926892096,0.48436474279193503
50,mixed_random,zscore_linear,ProSST-128,1065,0.9930222998184937,0.19343924496908735,0.48535855201162975
50,mixed_random,zscore_linear,RSALOR,1065,0.9930026414100149,0.16608650947316075,0.48599416825769054
50,mixed_random,zscore_linear,ProSST-512,1065,0.9929957084739905,0.18936858535314793,0.4890188996107094
50,mixed_random,zscore_linear,SaProt_650M_AF2,1065,0.9928936655482389,0.18222387442591645,0.4728979529654052
50,mixed_random,additive_plus_zscore,S3F,1065,0.9928574947858277,0.18396065270583145,0.49069352610311273
50,mixed_random,zscore_linear,TranceptEVE_M,1065,0.9928151078322723,0.16743709082037903,0.47631345150771787
50,mixed_random,zscore_linear,TranceptEVE_L,1065,0.9927660007431066,0.16635537706790846,0.4772679378729509
50,mixed_random,additive_plus_zscore,ProtSSN_ensemble,1065,0.9925899313015432,0.18202030156458715,0.4748455857064625
50,mixed_random,zscore_linear,ESCOTT,1065,0.9925233874086404,0.13495645953946073,0.5007352654870099
50,mixed_random,additive_plus_zscore,ProSST-128,1065,0.9925157163249178,0.1911214875098072,0.4852883862885528
50,mixed_random,additive_plus_zscore,ProSST-4096,1065,0.9924910372910796,0.17942937313792864,0.5121953389096813
50,mixed_random,zscore_linear,S2F,1065,0.9924149347238265,0.17715889441505933,0.4766422782411987
50,mixed_random,additive_plus_zscore,ProSST-512,1065,0.9924010035500656,0.18542752489952916,0.48964168693301896
50,mixed_random,additive_plus_zscore,RSALOR,1065,0.9923965130603715,0.1645396885598712,0.48548151027825986
50,mixed_random,additive_plus_zscore,TranceptEVE_L,1065,0.9923951895720182,0.16549240486366984,0.4777618672038722
50,mixed_random,additive_plus_zscore,TranceptEVE_M,1065,0.9923882884089387,0.1664506654951862,0.47591204622649774
50,mixed_random,xgboost,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9923695680845683,0.16866626093614645,0.5327306795595035
50,mixed_random,additive_plus_zscore,ESCOTT,1065,0.9922400938735686,0.13854863138897497,0.5009966324461989
50,mixed_random,additive_plus_zscore,SaProt_650M_AF2,1065,0.9920824175656292,0.177525684429471,0.4741663826880058
50,mixed_random,additive_plus_zscore,S2F,1065,0.9919086961228698,0.17536145652409127,0.47655919246917633
50,mixed_random,elastic_net,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9916344614987095,0.18332866055190017,0.590949718610897
50,mixed_random,zscore_linear,GEMME,1065,0.9912066252464051,0.14202189862374448,0.4763217254011002
50,mixed_random,additive_plus_zscore,GEMME,1065,0.9909147944044708,0.14229097529949655,0.4752569594603817
50,mixed_random,zscore_linear,VenusREM,1065,0.9903958075010069,0.20119695025045403,0.5365633795937892
50,mixed_random,additive_plus_zscore,VenusREM,1065,0.9889909017236447,0.19565276235904172,0.5371096145357421
50,mixed_random,zscore_linear,VespaG,1065,0.9889388784718771,0.11769810414995803,0.4827487231750541
50,mixed_random,additive_plus_zscore,VespaG,1065,0.9882934453472675,0.12052789931763633,0.4826783591639573
50,mixed_random,zscore_linear,ProSST-2048,1065,0.9880325567576623,0.21144703380465407,0.5230208190066209
50,mixed_random,lasso,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.987799646292137,0.1572967020514139,0.5867122085932422
50,mixed_random,hist_gradient_boosting,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9875654513841832,0.13807937566786616,0.5352249585289535
50,mixed_random,additive_plus_zscore,ProSST-2048,1065,0.9873151764142275,0.2075124214877836,0.523890720673391
50,mixed_random,random_forest,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9872476678331059,0.13632436866222222,0.4531345064732611
50,mixed_random,additive_plus_site_ridge,mutation_identity,1065,0.9854797185317332,0.12524311298868757,0.44984453476115105
50,mixed_random,onehot_site_ridge,mutation_identity,1065,0.9854342795403838,0.12517733754032248,0.4508895526491017
50,mixed_random,mutation_order_mean,mutation_identity,1065,0.98413196885417,0.12272530622575588,0.39434198249819685
50,mixed_random,global_mean,mutation_identity,1065,0.9833775638498274,0.12141851210271025,nan
50,mixed_random,additive_lookup,none,1065,0.9832525193039106,0.11980571109521465,0.07806682033348711
50,single_only,ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9955250379970658,0.2052021270343338,0.5509570086965427
50,single_only,additive_plus_top_score_ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9952340818999474,0.20393851154102172,0.5505944396150197
50,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,1065,0.995159320168299,0.2107658105805694,0.5555616793528317
50,single_only,top_score_ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9947828417259643,0.21097381872571672,0.5571894432784991
50,single_only,zscore_linear,PoET,1065,0.9945582860343662,0.1712759673751476,0.48971384303316917
50,single_only,zscore_linear,S2F_MSA,1065,0.9943410268649325,0.17769799253402443,0.5089199840175763
50,single_only,additive_plus_zscore,PoET,1065,0.994214144172636,0.16331573736468552,0.4772695483105946
