assay,seed,policy,round,n_observed,best_observed_fitness,best_observed_percentile,top1pct_found,pool_size
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,ensemble_mean:top_methods,3,50,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,ensemble_mean:top_methods,4,60,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,ensemble_mean:top_methods,5,70,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,ensemble_ucb:top_methods,0,20,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,ensemble_ucb:top_methods,1,30,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,ensemble_ucb:top_methods,2,40,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,ensemble_ucb:top_methods,3,50,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,ensemble_ucb:top_methods,4,60,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,ensemble_ucb:top_methods,5,70,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,diverse_ensemble:top_methods,0,20,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,diverse_ensemble:top_methods,1,30,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,diverse_ensemble:top_methods,2,40,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,diverse_ensemble:top_methods,3,50,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,diverse_ensemble:top_methods,4,60,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,diverse_ensemble:top_methods,5,70,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,diverse_zscore:ESM3,0,20,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,diverse_zscore:ESM3,1,30,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,diverse_zscore:ESM3,2,40,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,diverse_zscore:ESM3,3,50,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,diverse_zscore:ESM3,4,60,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,diverse_zscore:ESM3,5,70,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,random,0,20,2.005,0.9338394793926247,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,random,1,30,2.005,0.9338394793926247,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,random,2,40,2.297,0.9479392624728851,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,random,3,50,2.297,0.9479392624728851,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,random,4,60,3.969,0.9945770065075922,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,random,5,70,3.969,0.9945770065075922,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,additive_lookup,0,20,2.005,0.9338394793926247,0,922
