budget,model,method,n_pairs,n_pairs_spearman_doubles,n_pairs_spearman_higher,n_pairs_spearman_all,n_pairs_top1pct_recall_at_100,mean_delta_spearman_doubles,mean_delta_spearman_higher,mean_delta_spearman_all,mean_delta_top1pct_recall_at_100
20,zscore_linear,S3F,1065,325,40,1065,1065,-0.003435960378160493,0.002068703887099227,-0.003156336374836025,-0.00012946257031504598
20,zscore_linear,S2F,1065,325,40,1065,1065,-0.004831335263466807,-0.08580464921823647,-0.006872202872232155,-0.0028521663305025578
20,additive_plus_zscore,SaProt_650M_AF2,1065,325,40,1060,1065,-0.006685163379306692,-0.01809494404339584,-0.016666671555023726,-0.000834094812518865
20,additive_plus_zscore,VespaG,1065,325,40,1060,1065,-0.008206781310165626,0.00123458579518088,-0.012019227372254863,0.0014433967432549988
20,zscore_linear,ProSST-2048,1065,325,40,1065,1065,-0.009110120726011549,-0.10825381687721007,-0.009399748241316315,-0.0003261309216311956
20,additive_plus_zscore,S2F,1065,325,40,1060,1065,-0.012998576828675,-0.06886522168820788,-0.020239698377116595,-0.002801647079277119
20,additive_plus_zscore,ESM3,1065,325,40,1060,1065,-0.014212822478489092,0.05410486351575174,-0.012642933506699747,-0.0029853560952063
20,additive_plus_zscore,ProtSSN_ensemble,1065,325,40,1060,1065,-0.015375742355554216,0.011147613537701297,-0.011360873882402967,0.0042516432244509884
20,additive_plus_zscore,S3F,1065,325,40,1060,1065,-0.016018550174744014,-0.05208757771049908,-0.0163913388064794,0.00024520258045040863
20,additive_lookup,none,1065,202,40,202,1065,-0.024013293935177482,-0.027785418856778637,-0.016421232316429602,-0.0010912274331895757
50,onehot_site_ridge,mutation_identity,1065,314,40,316,1065,0.26807552923769307,0.14219043992582542,0.3372092042272993,0.011931425794705398
50,additive_plus_site_ridge,mutation_identity,1065,314,40,315,1065,0.2614798978900474,0.14806231108966006,0.3311103216992989,0.010410939633952006
50,additive_plus_top_score_ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,325,40,1060,1065,0.10059355514895187,0.0631488595383778,-0.0019828533228434253,-0.0033543718058529175
50,top_score_ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,325,40,1065,1065,0.06725498290150549,-0.004715495949822474,0.004208353168063607,-0.0007947860518232254
50,additive_plus_zscore,ProSST-1024,1065,325,40,1060,1065,0.049054066243611895,0.24417285481464387,0.010385877290333977,0.005079259563643945
50,additive_plus_zscore,ProSST-4096,1065,325,40,1060,1065,0.045006666311558,0.2607486673125071,0.014042000931818732,0.007767783412185115
50,additive_plus_zscore,ProSST-128,1065,325,40,1060,1065,0.04009267828294418,0.2630905441515286,0.016805977421047395,0.009706102377282684
50,additive_plus_zscore,ProSST-512,1065,325,40,1060,1065,0.03932669165219093,0.252335527139393,0.011676467775950914,0.006324401571821216
50,additive_plus_zscore,VenusREM,1065,325,40,1060,1065,0.03794039127571932,0.19448026905236085,0.010547571161123337,0.0057253308711743564
50,additive_plus_zscore,ESCOTT,1065,325,40,1060,1065,0.03683046641565156,0.2905869472086039,0.016275385309346378,0.002070753034162388
50,additive_plus_zscore,RSALOR,1065,325,40,1060,1065,0.035072272492415464,0.24111209983668774,0.008937840634395268,0.0035050351744763102
50,additive_plus_zscore,PoET,1065,325,40,1060,1065,0.0321087878470022,0.2526769407300885,0.014624654425880375,0.0033446253896528564
50,additive_plus_zscore,S3F_MSA,1065,325,40,1060,1065,0.0301374013167846,0.17739507496610984,0.010810413258706264,0.002252839342102285
50,additive_plus_zscore,TranceptEVE_L,1065,325,40,1061,1065,0.02977539836917303,0.20626334967084742,0.008052677947147823,0.0036404857058189325
