assay,seed,double_budget,model,selection_policy,n_train_doubles,n_test_higher,spearman_higher,abs_spearman_higher,top1pct_recall_at_100,pair_coverage
D7PM05_CLYGR_Somermeyer_2022.csv,0,100,pairwise_residual_from_doubles,random_doubles,100,13198,0.6588536211065705,0.6588536211065705,0.030303030303030304,0.00045692900193650864
D7PM05_CLYGR_Somermeyer_2022.csv,0,100,pairwise_residual_from_doubles,informative_pair_coverage,100,13198,0.660037861908567,0.660037861908567,0.030303030303030304,0.0038077416828042384
D7PM05_CLYGR_Somermeyer_2022.csv,1,20,pairwise_residual_from_doubles,random_doubles,20,13198,0.6594125119514387,0.6594125119514387,0.030303030303030304,7.615483365608477e-05
D7PM05_CLYGR_Somermeyer_2022.csv,1,20,pairwise_residual_from_doubles,informative_pair_coverage,20,13198,0.6599790447715288,0.6599790447715288,0.030303030303030304,0.0010552884092343176
D7PM05_CLYGR_Somermeyer_2022.csv,1,50,pairwise_residual_from_doubles,random_doubles,50,13198,0.6595487884759138,0.6595487884759138,0.030303030303030304,0.00021758523901738505
D7PM05_CLYGR_Somermeyer_2022.csv,1,50,pairwise_residual_from_doubles,informative_pair_coverage,50,13198,0.6599714848253755,0.6599714848253755,0.030303030303030304,0.0021758523901738505
D7PM05_CLYGR_Somermeyer_2022.csv,1,100,pairwise_residual_from_doubles,random_doubles,100,13198,0.6593457606802583,0.6593457606802583,0.030303030303030304,0.0004025326921821624
D7PM05_CLYGR_Somermeyer_2022.csv,1,100,pairwise_residual_from_doubles,informative_pair_coverage,100,13198,0.660037861908567,0.660037861908567,0.030303030303030304,0.0038077416828042384
D7PM05_CLYGR_Somermeyer_2022.csv,2,20,pairwise_residual_from_doubles,random_doubles,20,13198,0.6594446119295264,0.6594446119295264,0.030303030303030304,8.703409560695403e-05
D7PM05_CLYGR_Somermeyer_2022.csv,2,20,pairwise_residual_from_doubles,informative_pair_coverage,20,13198,0.6599790447715288,0.6599790447715288,0.030303030303030304,0.0010552884092343176
D7PM05_CLYGR_Somermeyer_2022.csv,2,50,pairwise_residual_from_doubles,random_doubles,50,13198,0.659136483642118,0.659136483642118,0.030303030303030304,0.00013055114341043104
D7PM05_CLYGR_Somermeyer_2022.csv,2,50,pairwise_residual_from_doubles,informative_pair_coverage,50,13198,0.6599714848253755,0.6599714848253755,0.030303030303030304,0.0021758523901738505
D7PM05_CLYGR_Somermeyer_2022.csv,2,100,pairwise_residual_from_doubles,random_doubles,100,13198,0.6594133371417543,0.6594133371417543,0.030303030303030304,0.0004678082638873779
D7PM05_CLYGR_Somermeyer_2022.csv,2,100,pairwise_residual_from_doubles,informative_pair_coverage,100,13198,0.660037861908567,0.660037861908567,0.030303030303030304,0.0038077416828042384
D7PM05_CLYGR_Somermeyer_2022.csv,3,20,pairwise_residual_from_doubles,random_doubles,20,13198,0.6594755660487033,0.6594755660487033,0.030303030303030304,4.3517047803477014e-05
D7PM05_CLYGR_Somermeyer_2022.csv,3,20,pairwise_residual_from_doubles,informative_pair_coverage,20,13198,0.6599790447715288,0.6599790447715288,0.030303030303030304,0.0010552884092343176
D7PM05_CLYGR_Somermeyer_2022.csv,3,50,pairwise_residual_from_doubles,random_doubles,50,13198,0.6595667274221718,0.6595667274221718,0.030303030303030304,0.00023934376291912356
D7PM05_CLYGR_Somermeyer_2022.csv,3,50,pairwise_residual_from_doubles,informative_pair_coverage,50,13198,0.6599714848253755,0.6599714848253755,0.030303030303030304,0.0021758523901738505
D7PM05_CLYGR_Somermeyer_2022.csv,3,100,pairwise_residual_from_doubles,random_doubles,100,13198,0.6592582876672884,0.6592582876672884,0.030303030303030304,0.0004351704780347701
D7PM05_CLYGR_Somermeyer_2022.csv,3,100,pairwise_residual_from_doubles,informative_pair_coverage,100,13198,0.660037861908567,0.660037861908567,0.030303030303030304,0.0038077416828042384
